,,Holiday,Problem,US Day - April,,,,,US Ev. - May,,,US Day - May,,,,,,US/FR - July,,,,,,US Ev. - July,,
Fri.,  06/12,,FALSE,52,B2.6 Computer Vision for Autonomous Cars,Nathan,Personal Project,PP,,,,24,B1.1.9-11 ML Unsupervised Learning,Dmitry,A2.1 Big Data archi & Hadoop,Mustafa,  06/12,,,,,,  06/12,,,
Sat.,  06/13,,FALSE,,,,,,20,A2.3 ML APIs/B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,,,,,,  06/13,,,,,,  06/13,,,
Mon.,  06/15,,FALSE,53,"D1 Interview questions, ML",Dmitry,"D0 Interview preparation, HR",Jad,,,,25,B1.2 ML Workshop,Nathan,A2.1 Big Data archi & Hadoop,Mustafa,  06/15,,,,,,  06/15,,,
Tue.,  06/16,,FALSE,54,"D2 Interview questions, ML / algorithms",Dmitry,"D0 Interview preparation, HR",Jad,21,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,26,B1.2 ML Workshop,Nathan,A2.1 Big Data archi & Hadoop,Mustafa,  06/16,,,,,,  06/16,,,
Wed.,  06/17,,FALSE,55,Personal project,PP,Personal project,PP,22,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,27,B1.3.1-3 Tensorflow Intro,Mustafa,B1.3.1-3 Tensorflow Intro,Mustafa,  06/17,,,,,,  06/17,,,
Thu.,  06/18,,FALSE,56,"D2 Interview questions, algorithms",Dmitry,Personal project,PP,23,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,28,B1.3.1-3 Tensorflow Intro,Mustafa,Personal Project,PP,  06/18,,,,,,  06/18,,,
Fri.,  06/19,,FALSE,57,"D2 Interview questions, algorithms",Dmitry,B2.5 Chatbot for medical diagnosis,Mustafa,,,,29,B1.4.1-2 Deep Learning - ANN,Nathan,B1.4.1-2 Deep Learning - ANN,Sami,  06/19,,,,,,  06/19,,,
Sat.,  06/20,,FALSE,,,,,,24,B1.1.7-8 ML decision trees,Sami,,,,,,  06/20,,,,,,  06/20,,,
Mon.,  06/22,,FALSE,58,B2.5 Chatbot for medical diagnosis,Mustafa,B1.7 RL & AI in videogames,Mustafa,,,,30,B1.4.3-4 Deep Learning - CNN,Nathan,B1.4.3-4 Deep Learning - CNN,Sami,  06/22,,,,,,  06/22,,,
Tue.,  06/23,,FALSE,59,B1.7 RL & AI in videogames,Mustafa,Personal project,PP,25,A1.7 Algorithmic & Complexity(1/2),Fanbo,31,B1.4.5-6 Deep Learning - RNN,Sami,B1.4.5-6 Deep Learning - RNN,Sami,  06/23,,,,,,  06/23,,,
Wed.,  06/24,,FALSE,60,Team Project Presentation,Dmitry,Team Project Presentation,Dmitry,26,A1.7 Algorithmic & Complexity(1/2),Fanbo,32,B1.5 Customer Segmentation,Nathan,Personal Project,PP,  06/24,,,,,,  06/24,,,
Thu.,  06/25,,FALSE,,,,,,27,A1.7 Algorithmic & Complexity(1/2),Fanbo,33,B1.5 Customer Segmentation,Nathan,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  06/25,,,,,,  06/25,,,
Fri.,  06/26,,FALSE,,,,,,,,,34,B1.5 Customer Segmentation,Nathan,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  06/26,,,,,,  06/26,,,
Sat.,  06/27,,FALSE,,,,,,28,Personal Project,Fanbo/Sami,,,,,,  06/27,,,,,,  06/27,,,
Mon.,  06/29,,FALSE,,Final pre-practice  day ,Fanbo/Dmtry,,,,,,35,B1.5 Customer Segmentation,Nathan,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  06/29,,,,,,  06/29,,,
Tue.,  06/30,,FALSE,,,,,,,,,36,B1.5 Customer Segmentation,Nathan,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  06/30,,,,,,  06/30,,,
Wed.,  07/01,,FALSE,,Public Demo Day,,,,,,,37,April track Demo Day,,B1.6 Fraud Detection,Mustafa,  07/01,1,"0.1 Bootcamp presentation
0.2 Introduction to AI",Samy,"0.2 Introduction to AI
0.3 Panorama of AI",Samy,  07/01,,,
Thu.,  07/02,,FALSE,,,,,,,,,38,B1.4.10-11 Timeseries,Dmitry,B1.6 Fraud Detection,Mustafa,  07/02,2,"A1.1 The foundations for AI
A1.3 Python",Fanbo,          A1.3 Python,Fanbo,  07/02,,,
Fri.,  07/03,US,FALSE,,,,,,X,Independence Day,,X,Independence Day,,,,  07/03,X,Independence Day,,,,  07/03,X,Independence Day,
Sat.,  07/04,US,FALSE,,,,,,X,Independence Day,,,,,,,  07/04,,,,,,  07/04,X,Independence Day,
Mon.,  07/06,US,FALSE,,,,,,X,Independence Day,,X,Independence Day,,,,  07/06,X,Independence Day,,,,  07/06,X,Independence Day,
Tue.,  07/07,,FALSE,,,,,,,,,39,B1.4.10-11 Timeseries,Dmitry,Personal Project,PP,  07/07,3,          A1.3 Python,Sami,          A1.3 Python,Sami,  07/07,1,"A1. Bootcamp Presentation
A2. Intro to AI",Sami
Wed.,  07/08,,FALSE,,,,,,,,,40,B1.4.10-11 Timeseries,Dmitry,"D0 Interview preparation, HR",Jad,  07/08,4,A1.4.1 Maths for AI - Linear Algebra,Sami,A1.4.1 Maths for AI - Linear Algebra,Sami,  07/08,2,"A1.1 The foundations for AI
A1.3 Python",Sami
Thu.,  07/09,,FALSE,,,,,,,,,41,B1.4.10-11 Timeseries,Dmitry,"D0 Interview preparation, HR",Jad,  07/09,5,A1.4.2 Maths for AI - Probabilities,Sami,A1.4.2 Maths for AI - Probabilities,Sami,  07/09,3,          A1.3 Python,Sami
Fri.,  07/10,,FALSE,,,,,,,,,42,B2.1 Image Processing,Dmitry,Personal Project,PP,  07/10,6,A1.8 SQL,Mustafa,A1.8 SQL,Mustafa,  07/10,,,
Sat.,  07/11,,FALSE,,,,,,,,,,,,,,  07/11,,,,,,  07/11,4,A1.3 Python,Sami
Mon.,  07/13,,FALSE,,,,,,,,,43,B2.1 Image Processing,Dmitry,B1.7 RL & AI in videogames,Mustafa,  07/13,7,A1.4.3 Maths for AI - Stats & Tests,Fanbo,A1.4.3 Maths for AI - Stats & Tests,Fanbo,  07/13,,,
Tue.,  07/14,FR,FALSE,,,,,,,,,44,B2.1 Image Processing,Dmitry,B1.7 RL & AI in videogames,Mustafa,  07/14,X,French National Day,,,,  07/14,5,A1.4.1 Maths for AI - Linear Algebra,Sami
Wed.,  07/15,,FALSE,,,,,,,,,45,A2.2 AWS,Quang,A2.2 AWS,Quang,  07/15,8,"A1.4.4,5 Statistics in Python",Fanbo,"A1.4.4,5 Statistics in Python",Fanbo,  07/15,6,A1.4.1 Maths for AI - Linear Algebra,Sami
Thu.,  07/16,,FALSE,,,,,,,,,46,B2.2 Face Detection,Dmitry,Personal Project,PP,  07/16,9,A1.5 R,Mustafa,A1.5 R,Mustafa,  07/16,7,A1.4.2 Maths for AI - Probabilities,Sami
Fri.,  07/17,,FALSE,,,,,,,,,47,B2.2 Face Detection,Dmitry,B2.2 Face Detection,Sami,  07/17,10,A1.6 Data Engineering with R,Mustafa,A1.6 Data Engineering with R,Mustafa,  07/17,,,
Sat.,  07/18,,FALSE,,,,,,,,,,,,,,  07/18,,,,,,  07/18,8,A1.8 SQL,Mustafa
Mon.,  07/20,,FALSE,,,,,,,,,48,A2.2 AWS,Quang,A2.2 AWS,Quang,  07/20,11,B1.1.1-4 ML & Regressions,Fanbo,A2.3 ML APIs,Fanbo,  07/20,,,
