Date,Days,TimeA,Morning,TimeB,Afternoon,TimeC,Evening,TimeD,Saturdays
2020-05-18,Monday,,,14:00-18:00 EST,B1.4.5-6 Deep Learning - RNN,,,,
2020-05-19,Tuesday,,,14:00-18:00 EST,B1.4.5-6 Deep Learning - RNN,,,,
2020-05-20,Wednesday,9:00-13:00 EST,A1.5 R,14:00-18:00 EST,A1.5 R,,,,
2020-05-21,Thursday,9:00-13:00 EST,A1.6 Data Engineering with R,14:00-18:00 EST,A1.6 Data Engineering with R,,,,
2020-05-22,Friday,,,,,,,,
2020-05-23,Saturday,,,,,,,10:00-18:00 EST,A1.8 SQL
2020-05-25,Monday,,,14:00-18:00 EST,A1.2 Git / GitHub,,,,
2020-05-26,Tuesday,,,14:00-18:00 EST,B1.4.10-11 Timeseries,,,,
2020-05-27,Wednesday,,,14:00-18:00 EST,B1.4.10-11 Timeseries,,,,
2020-05-28,Thursday,,,14:00-18:00 EST,A1.7 Algorithmic & Complexity,,,,
2020-05-29,Friday,,,14:00-18:00 EST,A1.7 Algorithmic & Complexity,,,,
2020-05-30,Saturday,,,,,,,10:00-18:00 EST,A1.5 R
2020-06-01,Monday,9:00-13:00 EST,Personal Project,,,,,,
2020-06-02,Tuesday,,,14:00-18:00 EST,B2.2 Face Detection / RNN,,,,
2020-06-03,Wednesday,,,14:00-18:00 EST,B2.2 Face Detection,,,,
2020-06-04,Thursday,,,14:00-18:00 EST,B2.2 Face Detection,,,,
2020-06-05,Friday,,,,,,,,
2020-06-06,Saturday,,,,,,,10:00-18:00 EST,A1.6 Data Engineering with R
2020-06-08,Monday,,,14:00-18:00 EST,B2.4 Speech representation & recognition,,,,
2020-06-09,Tuesday,,,14:00-18:00 EST,B2.4 Speech representation & recognition,,,,
2020-06-10,Wednesday,,,14:00-18:00 EST,B2.4 Speech representation & recognition,,,,
2020-06-11,Thursday,,,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-06-12,Friday,,,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-06-13,Saturday,,,,,,,,
2020-06-15,Monday,,,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-06-16,Tuesday,,,14:00-18:00 EST,A2.1 Big Data archi & Hadoop,,,,
2020-06-17,Wednesday,9:00-13:00 EST,B1.3.1-3 Tensorflow Intro,14:00-18:00 EST,B1.3.1-3 Tensorflow Intro,,,,
2020-06-18,Thursday,9:00-13:00 EST,B1.3.1-3 Tensorflow Intro,,,,,,
2020-06-19,Friday,,,14:00-18:00 EST,B2.5 Chatbot for medical diagnosis,,,,
2020-06-20,Saturday,,,,,,,,
